rmse,position,seed
0.6104456782341003,CB,42
0.7232809066772461,FS,42
1.5044535398483276,CB,42
1.785048007965088,SS,42
0.5058290362358093,CB,42
1.7266298532485962,FS,42
0.6206732988357544,CB,42
2.075575828552246,SS,42
1.9052609205245972,SS,42
1.7470431327819824,CB,42
0.886246919631958,CB,42
1.18573796749115,FS,42
0.12000562250614166,SS,42
0.4752975106239319,SS,42
1.7802565097808838,CB,42
0.48090803623199463,CB,42
1.2529187202453613,FS,42
0.29183685779571533,SS,42
1.7889468669891357,CB,42
1.2901861667633057,CB,42
0.590268611907959,FS,42
3.140995502471924,SS,42
7.288087368011475,CB,42
4.423032760620117,CB,42
2.510481357574463,FS,42
0.6782311201095581,SS,42
0.149752676486969,SS,42
0.6636365056037903,CB,42
0.06864212453365326,CB,42
1.3218296766281128,FS,42
0.37978988885879517,FS,42
1.7860931158065796,SS,42
1.5985685586929321,CB,42
3.226077079772949,FS,42
6.120019912719727,CB,42
0.9313414692878723,SS,42
3.8384451866149902,CB,42
4.843921661376953,SS,42
5.9721598625183105,CB,42
4.362918376922607,CB,42
4.96785306930542,FS,42
11.129918098449707,SS,42
6.8943681716918945,CB,42
8.179106712341309,CB,42
5.626445770263672,FS,42
0.1689862757921219,SS,42
0.3936505615711212,SS,42
0.6401327848434448,CB,42
0.20270872116088867,CB,42
0.5177092552185059,FS,42
0.4836834669113159,SS,42
0.859937846660614,SS,42
0.4085819721221924,CB,42
0.30041489005088806,CB,42
0.2978672683238983,FS,42
1.1105201244354248,FS,42
0.7698313593864441,CB,42
0.7238244414329529,SS,42
0.40536633133888245,CB,42
1.3628517389297485,FS,42
2.0330653190612793,CB,42
1.567536473274231,SS,42
0.9878779649734497,CB,42
1.2434160709381104,FS,42
1.5950218439102173,CB,42
1.7445378303527832,FS,42
1.326783299446106,SS,42
1.124375581741333,CB,42
1.6297060251235962,CB,42
3.870687484741211,SS,42
2.4878556728363037,SS,42
5.007680416107178,CB,42
0.7412305474281311,CB,42
1.6823400259017944,FS,42
0.15425574779510498,SS,42
1.073003888130188,CB,42
0.7274826169013977,CB,42
0.6322404742240906,FS,42
0.6034235954284668,SS,42
7.898367404937744,SS,42
11.115784645080566,CB,42
7.459839344024658,CB,42
3.077923536300659,FS,42
5.527063846588135,SS,42
1.86871337890625,FS,42
0.679878294467926,CB,42
0.9938994646072388,SS,42
1.0327147245407104,CB,42
0.956977367401123,FS,42
1.2133636474609375,SS,42
0.7597740292549133,CB,42
1.562564730644226,CB,42
2.6184418201446533,FS,42
2.182316303253174,SS,42
4.945465564727783,CB,42
2.162787914276123,CB,42
0.20228596031665802,SS,42
0.4343773126602173,CB,42
2.244999408721924,CB,42
1.5789289474487305,FS,42
1.7602458000183105,SS,42
4.335355281829834,SS,42
3.0788331031799316,CB,42
3.677896738052368,CB,42
2.66618013381958,FS,42
0.7536756992340088,SS,42
0.77972412109375,SS,42
1.0360485315322876,CB,42
0.7526395320892334,CB,42
0.267985463142395,FS,42
1.5657964944839478,SS,42
1.0871577262878418,SS,42
0.2231178730726242,CB,42
2.333083391189575,CB,42
1.0385725498199463,FS,42
8.322851181030273,SS,42
9.984305381774902,SS,42
10.0695161819458,CB,42
6.9450907707214355,CB,42
6.0565876960754395,FS,42
0.16479641199111938,CB,42
0.3985825479030609,CB,42
0.5237250328063965,SS,42
0.6617987751960754,SS,42
1.7008428573608398,CB,42
1.1256994009017944,CB,42
0.9027745723724365,CB,42
0.04916179180145264,SS,42
1.7650916576385498,SS,42
0.965896487236023,CB,42
2.906067371368408,CB,42
6.589687347412109,CB,42
3.5489442348480225,SS,42
5.089357852935791,SS,42
1.8546851873397827,CB,42
11.673340797424316,CB,42
7.288630485534668,CB,42
8.234827995300293,SS,42
3.9170281887054443,SS,42
1.648331642150879,CB,42
0.4407217800617218,CB,42
0.4534541368484497,CB,42
0.31681859493255615,SS,42
1.0836154222488403,SS,42
0.7027264833450317,FS,42
1.3541746139526367,CB,42
0.9945500493049622,CB,42
0.27283012866973877,CB,42
1.2254278659820557,SS,42
1.5425467491149902,FS,42
2.617987632751465,CB,42
1.557213544845581,CB,42
0.372683584690094,SS,42
1.1806447505950928,SS,42
1.9759658575057983,CB,42
0.5978806614875793,CB,42
1.5026198625564575,CB,42
1.3897795677185059,SS,42
0.9021580219268799,SS,42
1.1971653699874878,CB,42
0.4807509183883667,CB,42
0.8907387852668762,CB,42
0.4877161979675293,SS,42
0.586945116519928,SS,42
0.8416609168052673,CB,42
0.9437804222106934,CB,42
2.6879255771636963,CB,42
0.9364152550697327,SS,42
1.6525026559829712,SS,42
2.3024466037750244,CB,42
0.2165970355272293,CB,42
2.227989435195923,CB,42
1.411952257156372,SS,42
0.05032983422279358,SS,42
2.1600849628448486,CB,42
0.2212643325328827,CB,42
0.38942089676856995,CB,42
0.9831007122993469,SS,42
0.8240442276000977,SS,42
0.538654088973999,CB,42
0.36137139797210693,CB,42
0.668720543384552,CB,42
0.4726538062095642,CB,42
1.042816400527954,SS,42
1.0841915607452393,FS,42
0.44616279006004333,CB,42
0.3765861690044403,CB,42
0.5531697273254395,SS,42
0.8367345333099365,SS,42
0.6524551510810852,CB,42
3.094221591949463,CB,42
2.4437077045440674,CB,42
0.7304000854492188,SS,42
2.1925208568573,SS,42
2.7310256958007812,CB,42
1.2486294507980347,CB,42
